number,Book Title,Author,Grade,School,,,,
366,태양광 섬 연대도의 비밀,천세웅,3학년,초등학교,,,,
367,화석과 지층,황근기,3학년,초등학교,,,,
368,높은 곳으로 달려,사시다 가즈,3학년,초등학교,,,,
369,소피 스코트 남극에 가다,앨리슨 레스터,3학년,초등학교,,,,
370,공룡상상,김남길,3학년,초등학교,,,,
371,동물이야? 식물이야?,김지현,3학년,초등학교,,,,
372,신현림의 옛 그림과 뛰노는 동시 놀이터,신현림,3학년,초등학교,,,,
373,강은 어떻게 흘러가나,김연희,3학년,초등학교,,,,
374,그림자 도둑,임제다,3학년,초등학교,,,,
375,꼼지락 공주와 빗자루 선생님,송언,3학년,초등학교,,,,
376,딱 하나만 더 읽고,조이 카울리,3학년,초등학교,,,,
377,마법 상자 속으로 얍,황규섭,3학년,초등학교,,,,
378,모나리자 도난사건,존 패트릭 루이스,3학년,초등학교,,,,
379,집으로,마이클 모퍼고,3학년,초등학교,,,,
380,하트로 계산해 주세요,박현진,3학년,초등학교,,,,
381,규칙이 왜 필요할까요,서지원,3학년,초등학교,,,,
382,나의 도서관은 낙타 등에 있어,마그리트 루어스,3학년,초등학교,,,,
383,너구리 판사 퐁퐁이,신지영 외,3학년,초등학교,,,,
384,왜 사이 좋게 지내야 해,김민화,3학년,초등학교,,,,
385,조선통신사 여행길,이기범,3학년,초등학교,,,,
386,태극기 다는 날,김용란,3학년,초등학교,,,,
387,한양도성,나각순,3학년,초등학교,,,,
388,궁금쟁이 김선비 옛 그림에 쏙 빠졌네,박승주,3학년,초등학교,,,,
389,나는야 꼬마 디자이너,김지영,3학년,초등학교,,,,
390,피카소가 모나리자를 그린다면,표트르 바르소니,3학년,초등학교,,,,
